"sitecode","comid_old","comid_new","vpuid","totdasqkm_comidnew","ws_area_km2","ws_area_src"
"nwis_01493112",4765418,4765418,"02",17.8344,17.8344,"NHDV2_vaa"
"nwis_01540500",2604975,2604977,"02",29083.5801,29083.5801,"NHDV2_vaa"
"nwis_01542500",4672391,4672391,"02",3790.602,3790.602,"NHDV2_vaa"
"nwis_01544500",8134650,8134650,"02",363.0384,363.0384,"NHDV2_vaa"
"nwis_01548303",8143294,8143294,"02",18.6858,18.6858,"NHDV2_vaa"
"nwis_01549700",8145248,8145248,"02",2460.357,2460.357,"NHDV2_vaa"
"nwis_01567000",4699925,4699925,"02",8681.31,8681.31,"NHDV2_vaa"
"nwis_01570500",4710000,4710000,"02",62361.1179,62361.1179,"NHDV2_vaa"
"nwis_01608500",8420360,8420360,"02",3793.6683,3793.6683,"NHDV2_vaa"
"nwis_01611500",8431736,8431736,"02",1749.267,1749.267,"NHDV2_vaa"
"nwis_01632900",8441303,8441303,"02",245.9511,245.9511,"NHDV2_vaa"
"nwis_01645704",4509120,4509120,"02",14.6538,14.6538,"NHDV2_vaa"
"nwis_01645762",4509040,4509040,"02",7.1937,7.1937,"NHDV2_vaa"
"nwis_01646000",4509202,4509202,"02",150.8202,150.8202,"NHDV2_vaa"
"nwis_01646305",4508904,4508904,"02",6.9642,6.9642,"NHDV2_vaa"
"nwis_01646500",4512772,4512772,"02",29947.1013,29947.1013,"NHDV2_vaa"
"nwis_01648010",22338431,22338431,"02",171.4914,171.4914,"NHDV2_vaa"
"nwis_01649190",22336379,22336379,"02",33.9651,33.9651,"NHDV2_vaa"
"nwis_01649500",22337975,22337975,"02",194.3361,194.3361,"NHDV2_vaa"
"nwis_01650800",22338427,22338427,"02",19.1439,19.1439,"NHDV2_vaa"
"nwis_0165389205",22338713,22338713,"02",10.4121,10.4121,"NHDV2_vaa"
"nwis_01654000",22340331,22340331,"02",62.2764,62.2764,"NHDV2_vaa"
"nwis_01654500",22340329,22340329,"02",9.9162,9.9162,"NHDV2_vaa"
"nwis_01656903",22338645,22338645,"02",10.3041,10.3041,"NHDV2_vaa"
"nwis_01658000",4529099,4529099,"02",143.4942,143.4942,"NHDV2_vaa"
"nwis_0166818623",8476452,8476452,"02",37.4094,37.4094,"NHDV2_vaa"
"nwis_0166818985",8476832,8476832,"02",79.5483,79.5483,"NHDV2_vaa"
"nwis_01673000",8506380,8506380,"02",2793.7836,2793.7836,"NHDV2_vaa"
"nwis_02035000",8575903,8575903,"02",16195.0401,16195.0401,"NHDV2_vaa"
"nwis_02101726",8869974,8869974,"03N",180.0468,180.0468,"NHDV2_vaa"
"nwis_02110400",9069012,9069012,"03N",131.8824,131.8824,"NHDV2_vaa"
"nwis_02110500",9069040,9069040,"03N",2913.2001,2913.2001,"NHDV2_vaa"
"nwis_02110550",9069104,9069104,"03N",3263.1192,3263.1192,"NHDV2_vaa"
"nwis_02110701",9071598,9071598,"03N",45.7812,45.7812,"NHDV2_vaa"
"nwis_02110704",9071758,9071758,"03N",3722.4243,3722.4243,"NHDV2_vaa"
"nwis_0212378405",9211976,9211976,"03N",12058.6509,12058.6509,"NHDV2_vaa"
"nwis_02135000",9114416,9114416,"03N",7263.2772,7263.2772,"NHDV2_vaa"
"nwis_02148315",9721817,9721817,"03N",14377.3011,14377.3011,"NHDV2_vaa"
"nwis_02156500",9705130,9705130,"03N",7200.0846,7200.0846,"NHDV2_vaa"
"nwis_02160105",9698941,9698941,"03N",1968.6042,1968.6042,"NHDV2_vaa"
"nwis_02160700",9691190,9691190,"03N",1152.5805,1152.5805,"NHDV2_vaa"
"nwis_02162035",9707984,9707984,"03N",13544.7795,13544.7795,"NHDV2_vaa"
"nwis_02168504",9869858,9869858,"03N",6295.8924,6295.8924,"NHDV2_vaa"
"nwis_02169000",9869898,9869898,"03N",6550.1973,6550.1973,"NHDV2_vaa"
"nwis_02171645",9660548,9660548,"03N",13.2597,13.2597,"NHDV2_vaa"
"nwis_02203655",6333720,6333720,"03S",60.1155,60.1155,"NHDV2_vaa"
"nwis_02203700",6334126,6334126,"03S",28.3779,28.3779,"NHDV2_vaa"
"nwis_02203863",6334112,6334112,"03S",22.9464,22.9464,"NHDV2_vaa"
"nwis_02203900",6333752,6333752,"03S",260.1513,260.1513,"NHDV2_vaa"
"nwis_02203950",6334110,6334110,"03S",44.3889,44.3889,"NHDV2_vaa"
"nwis_02203960",6333710,6333710,"03S",89.0361,89.0361,"NHDV2_vaa"
"nwis_02204037",6333794,6333794,"03S",46.7703,46.7703,"NHDV2_vaa"
"nwis_02207135",6333488,6333488,"03S",6.2883,6.2883,"NHDV2_vaa"
"nwis_02207160",6333546,6333546,"03S",74.376,74.376,"NHDV2_vaa"
"nwis_02208450",6331754,6331754,"03S",481.4415,481.4415,"NHDV2_vaa"
"nwis_02208493",6331758,6331758,"03S",71.5572,71.5572,"NHDV2_vaa"
"nwis_02217643",1047417,1047417,"03S",7.9182,7.9182,"NHDV2_vaa"
"nwis_02234000",10997905,10997905,"03S",5428.2321,5428.2321,"NHDV2_vaa"
"nwis_02234500",11033091,11033091,"03S",6852.3237,6852.3237,"NHDV2_vaa"
"nwis_02235500",10995987,10995987,"03S",0.3834,0.3834,"NHDV2_vaa"
"nwis_02236000",10989245,10989245,"03S",8094.5199,8094.5199,"NHDV2_vaa"
"nwis_02236125",10989141,10989141,"03S",8793.4203,8793.4203,"NHDV2_vaa"
"nwis_02244040",16665219,16665219,"03S",15055.2594,15055.2594,"NHDV2_vaa"
"nwis_02245260",16663809,16663809,"03S",129.8214,129.8214,"NHDV2_vaa"
"nwis_02264000",21478144,21478144,"03S",0.8181,0.8181,"NHDV2_vaa"
"nwis_02264100",21477692,21477692,"03S",165.7647,165.7647,"NHDV2_vaa"
"nwis_02266200",21477644,21477644,"03S",36.4185,36.4185,"NHDV2_vaa"
"nwis_02266300",21478176,21478176,"03S",202.3632,202.3632,"NHDV2_vaa"
"nwis_02319302",166758629,166758629,"03S",5659.0614,5659.0614,"NHDV2_vaa"
"nwis_02320250",2229745,2229745,"03S",18402.8166,18402.8166,"NHDV2_vaa"
"nwis_02322688",2161388,2161388,"03S",1.4157,1.4157,"NHDV2_vaa"
"nwis_02323502",2232713,2232713,"03S",22941.7506,22941.7506,"NHDV2_vaa"
"nwis_02323566",933110050,933110050,"03S",23159.3112,23159.3112,"NHDV2_vaa"
"nwis_02336120",2047971,2047971,"03W",91.7865,91.7865,"NHDV2_vaa"
"nwis_02336152",2048083,2048083,"03W",23.1111,23.1111,"NHDV2_vaa"
"nwis_023362095",2048005,2048005,"03W",13.1274,13.1274,"NHDV2_vaa"
"nwis_02336240",2048013,2048013,"03W",77.5998,77.5998,"NHDV2_vaa"
"nwis_02336300",2047989,2047989,"03W",225.1332,225.1332,"NHDV2_vaa"
"nwis_02336313",2048017,2048017,"03W",7.3863,7.3863,"NHDV2_vaa"
"nwis_02336340",2047893,2047893,"03W",59.9652,59.9652,"NHDV2_vaa"
"nwis_02336360",2047911,2047911,"03W",72.5931,72.5931,"NHDV2_vaa"
"nwis_02336410",2047963,2047963,"03W",97.2531,97.2531,"NHDV2_vaa"
"nwis_02336526",3285608,3285608,"03W",40.7646,40.7646,"NHDV2_vaa"
"nwis_02336728",3285770,3285770,"03W",90.4554,90.4554,"NHDV2_vaa"
"nwis_02337170",3286494,3286494,"03W",5322.4803,5322.4803,"NHDV2_vaa"
"nwis_023432415",2306737,2306737,"03W",19331.0316,19331.0316,"NHDV2_vaa"
"nwis_02344630",6415508,6415508,"03W",190.4679,190.4679,"NHDV2_vaa"
"nwis_02397530",15823427,15823427,"03W",11303.4474,11303.4474,"NHDV2_vaa"
"nwis_02492620",15714387,15714387,"08",18604.8495,18604.8495,"NHDV2_vaa"
"nwis_03007800",8972788,8972788,"05",653.7933,653.7933,"NHDV2_vaa"
"nwis_03025500",10222194,10222194,"05",15446.619,15446.619,"NHDV2_vaa"
"nwis_03027500",6874115,6874115,"05",187.9479,187.9479,"NHDV2_vaa"
"nwis_03034000",4741709,4741709,"05",409.9527,409.9527,"NHDV2_vaa"
"nwis_03036000",166808422,166808422,"05",892.6308,892.6308,"NHDV2_vaa"
"nwis_03058000",3717136,3717136,"05",262.2699,262.2699,"NHDV2_vaa"
"nwis_03061000",3715602,3715602,"05",1961.4141,1961.4141,"NHDV2_vaa"
"nwis_03067510",3777215,3777215,"05",159.7824,159.7824,"NHDV2_vaa"
"nwis_03072655",3788105,3788105,"05",11549.5992,11549.5992,"NHDV2_vaa"
"nwis_03073000",3789647,3789647,"05",467.694,467.694,"NHDV2_vaa"
"nwis_03075070",3785895,3785895,"05",13832.3448,13832.3448,"NHDV2_vaa"
"nwis_03081000",3809023,3809023,"05",2661.6204,2661.6204,"NHDV2_vaa"
"nwis_03083500",3806147,3806147,"05",4434.8382,4434.8382,"NHDV2_vaa"
"nwis_03098600",13153643,13153643,"05",2533.0041,2533.0041,"NHDV2_vaa"
"nwis_03105500",19464300,19464300,"05",5807.0709,5807.0709,"NHDV2_vaa"
"nwis_03106000",10926401,10926401,"05",922.4334,922.4334,"NHDV2_vaa"
"nwis_03121850",19389922,19389922,"05",36.1134,36.1134,"NHDV2_vaa"
"nwis_03183500",12107522,12107522,"05",3297.8241,3297.8241,"NHDV2_vaa"
"nwis_03219500",5215353,5215353,"05",1467.972,1467.972,"NHDV2_vaa"
"nwis_03228300",5213097,5213097,"05",262.1826,262.1826,"NHDV2_vaa"
"nwis_03255349",3404925,3404925,"05",144.7713,144.7713,"NHDV2_vaa"
"nwis_03259757",3405231,3405231,"05",21.0168,21.0168,"NHDV2_vaa"
"nwis_03259813",3405231,3405231,"05",21.0168,21.0168,"NHDV2_vaa"
"nwis_03289200",1825492,1825492,"05",95.3703,95.3703,"NHDV2_vaa"
"nwis_03292470",10163598,10163598,"05",186.6744,186.6744,"NHDV2_vaa"
"nwis_03292474",10163710,10163710,"05",29.5047,29.5047,"NHDV2_vaa"
"nwis_03292475",10163710,10163710,"05",29.5047,29.5047,"NHDV2_vaa"
"nwis_03292480",10163686,10163686,"05",17.0424,17.0424,"NHDV2_vaa"
"nwis_03293000",10163884,10163884,"05",66.2274,66.2274,"NHDV2_vaa"
"nwis_03293500",10163884,10163884,"05",66.2274,66.2274,"NHDV2_vaa"
"nwis_03293530",10163728,10163728,"05",18.9333,18.9333,"NHDV2_vaa"
"nwis_03294570",10163798,10163798,"05",42.0444,42.0444,"NHDV2_vaa"
"nwis_03297900",10263816,10263816,"05",207.4167,207.4167,"NHDV2_vaa"
"nwis_03298000",10264510,10264510,"05",361.08,361.08,"NHDV2_vaa"
"nwis_03298135",10264014,10264014,"05",30.0168,30.0168,"NHDV2_vaa"
"nwis_03298150",10264014,10264014,"05",30.0168,30.0168,"NHDV2_vaa"
"nwis_03298200",10264174,10264164,"05",544.9005,544.9005,"NHDV2_vaa"
"nwis_03298250",10264224,10264224,"05",35.2125,35.2125,"NHDV2_vaa"
"nwis_03298300",10264216,10264216,"05",21.7242,21.7242,"NHDV2_vaa"
"nwis_03301900",10264004,10264004,"05",9.1566,9.1566,"NHDV2_vaa"
"nwis_03301940",10264038,10264038,"05",29.6721,29.6721,"NHDV2_vaa"
"nwis_03302000",10264532,10264532,"05",166.9086,166.9086,"NHDV2_vaa"
"nwis_03302030",10264270,10264270,"05",216.2763,216.2763,"NHDV2_vaa"
"nwis_03302050",10264274,10264274,"05",12.7719,12.7719,"NHDV2_vaa"
"nwis_03321500",11619101,11619101,"05",22657.4379,22657.4379,"NHDV2_vaa"
"nwis_03339000",10080962,10080962,"05",3340.3536,3340.3536,"NHDV2_vaa"
"nwis_03346500",10339414,10339414,"05",6083.8605,6083.8605,"NHDV2_vaa"
"nwis_03353200",18476775,18476775,"05",284.1741,284.1741,"NHDV2_vaa"
"nwis_03353420",18476787,18476787,"05",21.1194,21.1194,"NHDV2_vaa"
"nwis_03374100",18471310,18471310,"05",29069.028,29069.028,"NHDV2_vaa"
"nwis_03408500",12154450,12154450,"05",998.1612,998.1612,"NHDV2_vaa"
"nwis_03409500",12154278,12154278,"05",706.6737,706.6737,"NHDV2_vaa"
"nwis_03430200",18401497,18401497,"05",2364.606,2364.606,"NHDV2_vaa"
"nwis_03460795",22151067,22151067,"06",1392.1812,1392.1812,"NHDV2_vaa"
"nwis_03512000",19730510,19730510,"06",476.5311,476.5311,"NHDV2_vaa"
"nwis_03538830",19710659,19710659,"06",237.4146,237.4146,"NHDV2_vaa"
"nwis_03539600",19711775,19711775,"06",362.6964,362.6964,"NHDV2_vaa"
"nwis_03539778",19710283,19710283,"06",443.9484,443.9484,"NHDV2_vaa"
"nwis_03597860",19533702,19533702,"06",1108.5246,1108.5246,"NHDV2_vaa"
"nwis_04024000",1777616,1777616,"04",8893.246,8893.246,"NHDV2_vaa"
"nwis_04027000",1815879,1815879,"04",1549.225,1549.225,"NHDV2_vaa"
"nwis_04040000",11947215,11947215,"04",3471.178,3471.178,"NHDV2_vaa"
"nwis_04059500",6860182,6860182,"04",1166.35,1166.35,"NHDV2_vaa"
"nwis_04067500",6848607,6848607,"04",10148.337,10148.337,"NHDV2_vaa"
"nwis_04085108",12005979,12005979,"04",129.127,129.127,"NHDV2_vaa"
"nwis_040851385",12005077,12005077,"04",16642.654,16642.654,"NHDV2_vaa"
"nwis_04087050",12163800,12163800,"04",21.282,21.282,"NHDV2_vaa"
"nwis_04087119",12163888,12163888,"04",27.741,27.741,"NHDV2_vaa"
"nwis_040871488",12164306,12164306,"04",29.642,29.642,"NHDV2_vaa"
"nwis_04095090",3398496,3398496,"04",858.024,858.024,"NHDV2_vaa"
"nwis_04101500",12264996,12264996,"04",9654.552,9654.552,"NHDV2_vaa"
"nwis_04108660",3468457,3468457,"04",5120.26,5120.26,"NHDV2_vaa"
"nwis_04119400",9005833,9005833,"04",13730.119,13730.119,"NHDV2_vaa"
"nwis_04121944",12134418,12134418,"04",965.547,965.547,"NHDV2_vaa"
"nwis_04121970",12134842,12134842,"04",6072.844,6072.844,"NHDV2_vaa"
"nwis_04124000",12121104,12121104,"04",2242.152,2242.152,"NHDV2_vaa"
"nwis_04124200",12120568,12120568,"04",2544.909,2544.909,"NHDV2_vaa"
"nwis_04125460",12120754,12120754,"04",652.379,652.379,"NHDV2_vaa"
"nwis_04125550",12121294,12121294,"04",3576.696,3576.696,"NHDV2_vaa"
"nwis_04136000",12952772,12952772,"04",2789.401,2789.401,"NHDV2_vaa"
"nwis_04136500",12952798,12952798,"04",3331.047,3331.047,"NHDV2_vaa"
"nwis_04136900",12951528,12951528,"04",3724.935,3724.935,"NHDV2_vaa"
"nwis_04137005",12951570,12951570,"04",3949.732,3949.732,"NHDV2_vaa"
"nwis_04137500",12954040,12954040,"04",4323.812,4323.812,"NHDV2_vaa"
"nwis_04142000",12944890,12944890,"04",854.099,854.099,"NHDV2_vaa"
"nwis_041482663",13019635,13019635,"04",44.678,44.678,"NHDV2_vaa"
"nwis_04157005",13204437,13204437,"04",15612.57,15612.57,"NHDV2_vaa"
"nwis_04165500",13183066,13183066,"04",1939.963,1939.963,"NHDV2_vaa"
"nwis_04166500",10850144,10850144,"04",478.753,478.753,"NHDV2_vaa"
"nwis_04167150",10850156,10850156,"04",283.033,283.033,"NHDV2_vaa"
"nwis_04168400",10850162,10850162,"04",234.546,234.546,"NHDV2_vaa"
"nwis_04174500",13176035,13176035,"04",1930.896,1930.896,"NHDV2_vaa"
"nwis_04176500",13229606,13229606,"04",2679.973,2679.973,"NHDV2_vaa"
"nwis_04188496",15647198,15647198,"04",130.284,130.284,"NHDV2_vaa"
"nwis_04195500",15626425,15626425,"04",1101.767,1101.767,"NHDV2_vaa"
"nwis_04199500",15605376,15605376,"04",679.45,679.45,"NHDV2_vaa"
"nwis_04200500",15597503,15597503,"04",1039.275,1039.275,"NHDV2_vaa"
"nwis_04208000",15587072,15587072,"04",1829.21,1829.21,"NHDV2_vaa"
"nwis_04213152",9840538,9840538,"04",97.033,97.033,"NHDV2_vaa"
"nwis_04213500",15582369,15582369,"04",1129.273,1129.273,"NHDV2_vaa"
"nwis_04231600",15537883,15537883,"04",7423.696,7423.696,"NHDV2_vaa"
"nwis_04249000",21972746,21972746,"04",20699.062,20699.062,"NHDV2_vaa"
"nwis_05054000",6667867,6667867,"09",28398.2868,28398.2868,"NHDV2_vaa"
"nwis_05057000",14269180,14269180,"09",6170.085,6170.085,"NHDV2_vaa"
"nwis_05057200",14269214,14269214,"09",1731.0843,1731.0843,"NHDV2_vaa"
"nwis_05082500",9398232,9398232,"09",64103.1795,64103.1795,"NHDV2_vaa"
"nwis_05406457",13633173,13633173,"07",1.1952,1.1952,"NHDV2_vaa"
"nwis_05406469",13633137,13633137,"07",28.8342,28.8342,"NHDV2_vaa"
"nwis_05406479",13633821,13633821,"07",66.1284,66.1284,"NHDV2_vaa"
"nwis_05406500",13633025,13633025,"07",114.3378,114.3378,"NHDV2_vaa"
"nwis_05418400",13374239,13374239,"07",1302.912,1302.912,"NHDV2_vaa"
"nwis_05420500",14809371,14809371,"07",220066.1037,220066.1037,"NHDV2_vaa"
"nwis_05435943",13425023,13425023,"07",55.4994,55.4994,"NHDV2_vaa"
"nwis_05435950",13425065,13425065,"07",217.1115,217.1115,"NHDV2_vaa"
"nwis_05446500",10608846,10608846,"07",24761.1447,24761.1447,"NHDV2_vaa"
"nwis_05447500",10969489,10969489,"07",2710.7838,2710.7838,"NHDV2_vaa"
"nwis_05451080",6570914,6570914,"07",32.121,32.121,"NHDV2_vaa"
"nwis_05451210",6572160,6572160,"07",582.66,582.66,"NHDV2_vaa"
"nwis_05515500",13433691,13433691,"07",1369.251,1369.251,"NHDV2_vaa"
"nwis_05518000",13438397,13438397,"07",4560.0282,4560.0282,"NHDV2_vaa"
"nwis_05524500",13454468,13454468,"07",1160.6769,1160.6769,"NHDV2_vaa"
"nwis_05579630",13551313,13551313,"07",38.5695,38.5695,"NHDV2_vaa"
"nwis_05595000",13893022,13893022,"07",13464.1467,13464.1467,"NHDV2_vaa"
"nwis_05599490",13786642,13786642,"07",5577.8076,5577.8076,"NHDV2_vaa"
"nwis_06336000",14567692,14567692,"10U",16073.3664,16073.3664,"NHDV2_vaa"
"nwis_06436760",5453388,5453388,"10U",1196.2665,1196.2665,"NHDV2_vaa"
"nwis_06461500",16031404,16031404,"10U",16113.0312,16113.0312,"NHDV2_vaa"
"nwis_06465500",11645823,11645823,"10U",27423.8073,27423.8073,"NHDV2_vaa"
"nwis_06478522",11759050,11759050,"10U",1183.4793,1183.4793,"NHDV2_vaa"
"nwis_06670500",17483383,17483383,"10L",11678.1102,11678.1102,"NHDV2_vaa"
"nwis_06711565",194423,194423,"10L",8780.6574,8780.6574,"NHDV2_vaa"
"nwis_06795500",17421926,17421926,"10L",34076.8305,34076.8305,"NHDV2_vaa"
"nwis_06800500",24750511,24750511,"10L",17445.7008,17445.7008,"NHDV2_vaa"
"nwis_06805500",17416036,17416032,"10L",210860.2503,210860.2503,"NHDV2_vaa"
"nwis_06818000",2252949,2252949,"10L",1020851.7597,1020851.7597,"NHDV2_vaa"
"nwis_06892513",3727673,3727673,"10L",151.2882,151.2882,"NHDV2_vaa"
"nwis_06893300",4392793,4392793,"10L",68.9346,68.9346,"NHDV2_vaa"
"nwis_06893350",4392993,4392993,"10L",54.0288,54.0288,"NHDV2_vaa"
"nwis_06893620",4390605,4390605,"10L",25.2036,25.2036,"NHDV2_vaa"
"nwis_06893820",4390909,4390909,"10L",257.1066,257.1066,"NHDV2_vaa"
"nwis_06893890",4390979,4390979,"10L",90.4986,90.4986,"NHDV2_vaa"
"nwis_06893970",4390589,4390589,"10L",22.1121,22.1121,"NHDV2_vaa"
"nwis_06894000",4391187,4391187,"10L",480.4416,480.4416,"NHDV2_vaa"
"nwis_06934500",6013072,6013072,"10L",1277917.9452,1277917.9452,"NHDV2_vaa"
"nwis_07048600",8590894,8590894,"11",1037.4498,1037.4498,"NHDV2_vaa"
"nwis_07061270",7665728,7665728,"11",135.5463,135.5463,"NHDV2_vaa"
"nwis_07061290",7666946,7666946,"11",226.7964,226.7964,"NHDV2_vaa"
"nwis_07075250",11777377,11777377,"11",120.7278,120.7278,"NHDV2_vaa"
"nwis_07075270",11777215,11777215,"11",193.8231,193.8231,"NHDV2_vaa"
"nwis_07106000",1530529,1530529,"11",1761.8454,1761.8454,"NHDV2_vaa"
"nwis_07109500",952589,952589,"11",16199.0163,16199.0163,"NHDV2_vaa"
"nwis_07143672",21176300,21176300,"11",1996.9776,1996.9776,"NHDV2_vaa"
"nwis_07144100",21177172,21177172,"11",3242.6244,3242.6244,"NHDV2_vaa"
"nwis_07164500",369211,369211,"11",217697.121,217697.121,"NHDV2_vaa"
"nwis_07177500",847292,847292,"11",2361.6396,2361.6396,"NHDV2_vaa"
"nwis_07178200",847450,847450,"11",2944.8333,2944.8333,"NHDV2_vaa"
"nwis_071912213",21771121,21771121,"11",423.6201,423.6201,"NHDV2_vaa"
"nwis_07191222",21770993,21770993,"11",153.1476,153.1476,"NHDV2_vaa"
"nwis_07198000",402478,402478,"11",4183.7373,4183.7373,"NHDV2_vaa"
"nwis_07239450",391180,391180,"11",34031.3481,34031.3481,"NHDV2_vaa"
"nwis_07241000",393414,393414,"11",34680.8133,34680.8133,"NHDV2_vaa"
"nwis_07241520",414275,414275,"11",35187.444,35187.444,"NHDV2_vaa"
"nwis_07241550",414203,414203,"11",35397.9063,35397.9063,"NHDV2_vaa"
"nwis_07263296",22846155,22846155,"11",190.035,190.035,"NHDV2_vaa"
"nwis_072632966",22848005,22848005,"11",232.2477,232.2477,"NHDV2_vaa"
"nwis_07332620",8348635,8348635,"11",761.409,761.409,"NHDV2_vaa"
"nwis_07332622",8348819,8348819,"11",968.1291,968.1291,"NHDV2_vaa"
"nwis_07374000",19088319,19088319,"08",2880681.8643,2880681.8643,"NHDV2_vaa"
"nwis_07381600",15182073,15182073,"08",3130494.4305,245067.06,"Appling2018_USGS2013"
"nwis_08048000",1268410,1268410,"12",6742.2924,6742.2924,"NHDV2_vaa"
"nwis_08049500",1269868,1269868,"12",7910.3178,7910.3178,"NHDV2_vaa"
"nwis_08052700",1278534,1278534,"12",193.1067,193.1067,"NHDV2_vaa"
"nwis_08052745",1278616,1278616,"12",112.0527,112.0527,"NHDV2_vaa"
"nwis_08057000",942030011,942030011,"12",15795.8136,15795.8136,"NHDV2_vaa"
"nwis_08057410",1260375,1260375,"12",16253.3556,16253.3556,"NHDV2_vaa"
"nwis_08062500",1262531,1262531,"12",21054.3939,21054.3939,"NHDV2_vaa"
"nwis_08065350",1484774,1484774,"12",35961.7032,35961.7032,"NHDV2_vaa"
"nwis_08068000",1468280,1468280,"12",2147.0526,2147.0526,"NHDV2_vaa"
"nwis_08068500",1508043,1508043,"12",1052.3493,1052.3493,"NHDV2_vaa"
"nwis_08070200",1520083,1520083,"12",1019.8422,1019.8422,"NHDV2_vaa"
"nwis_08155500",5781893,5781893,"12",311.0211,311.0211,"NHDV2_vaa"
"nwis_08171290",1629555,1629555,"12",1016.8686,1016.8686,"NHDV2_vaa"
"nwis_08180700",10835974,10835974,"12",2232.6813,2232.6813,"NHDV2_vaa"
"nwis_08181500",10836092,10836092,"12",3366.8559,3366.8559,"NHDV2_vaa"
"nwis_08181800",10840572,10840572,"12",4528.7082,4528.7082,"NHDV2_vaa"
"nwis_08188060",3839167,3839167,"12",9215.424,9215.424,"NHDV2_vaa"
"nwis_08211200",3171770,3171770,"12",43043.1399,43043.1399,"NHDV2_vaa"
"nwis_08317400",17834678,17834678,"13",29246.517,29246.517,"NHDV2_vaa"
"nwis_08374550",291639,291639,"13",170869.8213,170869.8213,"NHDV2_vaa"
"nwis_08375300",291801,291801,"13",183080.9457,183080.9457,"NHDV2_vaa"
"nwis_08412500",3210721,3210721,"13",51965.7795,51965.7795,"NHDV2_vaa"
"nwis_08437710",3212475,3212475,"13",71380.2285,71380.2285,"NHDV2_vaa"
"nwis_08446500",3213331,3213331,"13",74314.0368,74314.0368,"NHDV2_vaa"
"nwis_08447000",332712,332712,"13",83075.6745,83075.6745,"NHDV2_vaa"
"nwis_08447300",333056,333056,"13",86919.1695,86919.1695,"NHDV2_vaa"
"nwis_09041400",1231609,1231609,"14",700.2801,700.2801,"NHDV2_vaa"
"nwis_09326500",4877531,4877531,"14",359.946,359.946,"NHDV2_vaa"
"nwis_09327000",4876845,4876845,"14",409.5468,409.5468,"NHDV2_vaa"
"nwis_09406000",10023916,10023916,"15",2389.8132,2389.8132,"NHDV2_vaa"
"nwis_10129900",10093082,10093082,"16",67.9239,67.9239,"NHDV2_vaa"
"nwis_10133650",10276856,10276856,"16",89.8947,89.8947,"NHDV2_vaa"
"nwis_10133800",10276836,10276836,"16",152.7417,152.7417,"NHDV2_vaa"
"nwis_10133980",10276712,10276712,"16",285.507,285.507,"NHDV2_vaa"
"nwis_11044000",22549075,22549075,"18",1495.233,1495.233,"NHDV2_vaa"
"nwis_11126000",17611567,17610189,"18",1090.4913,1090.4913,"NHDV2_vaa"
"nwis_11128500",17609015,17609015,"18",1468.0305,1468.0305,"NHDV2_vaa"
"nwis_11273400",2829236,2829236,"18",25803.4482,25803.4482,"NHDV2_vaa"
"nwis_11285500",17078299,17078299,"18",3281.6637,3281.6637,"NHDV2_vaa"
"nwis_11447650",15048349,15048349,"18",59572.5345,59572.5345,"NHDV2_vaa"
"nwis_11447830",15059759,15059759,"18",60080.8482,60080.8482,"NHDV2_vaa"
"nwis_11447850",15059771,15059771,"18",60152.0958,60152.0958,"NHDV2_vaa"
"nwis_11447890",15059765,15059765,"18",60123.7683,60123.7683,"NHDV2_vaa"
