"sitecode","usgs_gagename","comid_old","comid_new","vpuid","ws_area_km2","ws_area_src","width_m","width_src"
"nwis_02110701","nwis_02110701",9071598,9071598,"03N",45.7812,"NHDV2_vaa",19.24812,"NWIS field measurements"
"nwis_02110704","nwis_02110704",9071758,9071758,"03N",3722.4243,"NHDV2_vaa",60.6552,"NWIS field measurements"
"nwis_0212378405","nwis_0212378405",9211976,9211976,"03N",12058.6509,"NHDV2_vaa",229.0572,"NWIS field measurements"
"nwis_02135000","nwis_02135000",9114416,9114416,"03N",7263.2772,"NHDV2_vaa",76.962,"NWIS field measurements"
"nwis_02148315","nwis_02148315",9721817,9721817,"03N",14377.3011,"NHDV2_vaa",71.628,"NWIS field measurements"
"nwis_02156500","nwis_02156500",9705130,9705130,"03N",7200.0846,"NHDV2_vaa",113.0808,"NWIS field measurements"
"nwis_02160105","nwis_02160105",9698941,9698941,"03N",1968.6042,"NHDV2_vaa",37.1856,"NWIS field measurements"
"nwis_02160700","nwis_02160700",9691190,9691190,"03N",1152.5805,"NHDV2_vaa",32.4612,"NWIS field measurements"
"nwis_02162035","nwis_02162035",9707984,9707984,"03N",13544.7795,"NHDV2_vaa",227.3808,"NWIS field measurements"
"nwis_02168504","nwis_02168504",9869858,9869858,"03N",6295.8924,"NHDV2_vaa",78.0288,"NWIS field measurements"
"nwis_02169000","nwis_02169000",9869898,9869898,"03N",6550.1973,"NHDV2_vaa",97.2312,"NWIS field measurements"
"nwis_02171645","nwis_02171645",9660548,9660548,"03N",13.2597,"NHDV2_vaa",109.728,"NWIS field measurements"
"nwis_02203655","nwis_02203655",6333720,6333720,"03S",60.1155,"NHDV2_vaa",7.19328,"NWIS field measurements"
"nwis_02203700","nwis_02203700",6334126,6334126,"03S",28.3779,"NHDV2_vaa",3.74904,"NWIS field measurements"
"nwis_02203863","nwis_02203863",6334112,6334112,"03S",22.9464,"NHDV2_vaa",5.5626,"NWIS field measurements"
"nwis_02203900","nwis_02203900",6333752,6333752,"03S",260.1513,"NHDV2_vaa",17.6022,"NWIS field measurements"
"nwis_02203950","nwis_02203950",6334110,6334110,"03S",44.3889,"NHDV2_vaa",7.51332,"NWIS field measurements"
"nwis_02203960","nwis_02203960",6333710,6333710,"03S",89.0361,"NHDV2_vaa",12.192,"NWIS field measurements"
"nwis_02204037","nwis_02204037",6333794,6333794,"03S",46.7703,"NHDV2_vaa",7.4676,"NWIS field measurements"
"nwis_02207135","nwis_02207135",6333488,6333488,"03S",6.2883,"NHDV2_vaa",6.52272,"NWIS field measurements"
"nwis_02207160","nwis_02207160",6333546,6333546,"03S",74.376,"NHDV2_vaa",9.8298,"NWIS field measurements"
"nwis_02208450","nwis_02208450",6331754,6331754,"03S",481.4415,"NHDV2_vaa",19.05,"NWIS field measurements"
"nwis_02208493","nwis_02208493",6331758,6331758,"03S",71.5572,"NHDV2_vaa",10.60704,"NWIS field measurements"
"nwis_02217643","nwis_02217643",1047417,1047417,"03S",7.9182,"NHDV2_vaa",3.6576,"NWIS field measurements"
"nwis_02234000","nwis_02234000",10997905,10997905,"03S",5428.2321,"NHDV2_vaa",95.5548,"NWIS field measurements"
"nwis_02234500","nwis_02234500",11033091,11033091,"03S",6852.3237,"NHDV2_vaa",148.4376,"NWIS field measurements"
"nwis_02235500","nwis_02235500",10995987,10995987,"03S",0.3834,"NHDV2_vaa",26.5176,"NWIS field measurements"
"nwis_02236000","nwis_02236000",10989245,10989245,"03S",8094.5199,"NHDV2_vaa",108.8136,"NWIS field measurements"
"nwis_02236125","nwis_02236125",10989141,10989141,"03S",8793.4203,"NHDV2_vaa",123.444,"NWIS field measurements"
"nwis_02244040","nwis_02244040",16665219,16665219,"03S",15055.2594,"NHDV2_vaa",259.842,"NWIS field measurements"
"nwis_02245260","nwis_02245260",16663809,16663809,"03S",129.8214,"NHDV2_vaa",24.09444,"NWIS field measurements"
"nwis_02264000","nwis_02264000",21478144,21478144,"03S",0.8181,"NHDV2_vaa",4.73964,"NWIS field measurements"
"nwis_02264100","nwis_02264100",21477692,21477692,"03S",165.7647,"NHDV2_vaa",19.84248,"NWIS field measurements"
"nwis_02266200","nwis_02266200",21477644,21477644,"03S",36.4185,"NHDV2_vaa",2.8194,"NWIS field measurements"
"nwis_02266300","nwis_02266300",21478176,21478176,"03S",202.3632,"NHDV2_vaa",10.34796,"NWIS field measurements"
"nwis_02319302","nwis_02319302",166758629,166758629,"03S",5659.0614,"NHDV2_vaa",17.16024,"NWIS field measurements"
"nwis_02320250","nwis_02320250",2229745,2229745,"03S",18402.8166,"NHDV2_vaa",39.624,"NWIS field measurements"
"nwis_02322688","nwis_02322688",2161388,2161388,"03S",1.4157,"NHDV2_vaa",25.20696,"NWIS field measurements"
"nwis_02323502","nwis_02323502",2232713,2232713,"03S",22941.7506,"NHDV2_vaa",19.01952,"NWIS field measurements"
"nwis_02323566","nwis_02323566",933110050,933110050,"03S",23159.3112,"NHDV2_vaa",25.7556,"NWIS field measurements"
"nwis_02336120","nwis_02336120",2047971,2047971,"03W",91.7865,"NHDV2_vaa",9.6012,"NWIS field measurements"
"nwis_02336152","nwis_02336152",2048083,2048083,"03W",23.1111,"NHDV2_vaa",5.7912,"NWIS field measurements"
"nwis_023362095","nwis_023362095",2048005,2048005,"03W",13.1274,"NHDV2_vaa",7.0104,"NWIS field measurements"
"nwis_02336240","nwis_02336240",2048013,2048013,"03W",77.5998,"NHDV2_vaa",8.0772,"NWIS field measurements"
"nwis_02336300","nwis_02336300",2047989,2047989,"03W",225.1332,"NHDV2_vaa",12.7254,"NWIS field measurements"
"nwis_02336313","nwis_02336313",2048017,2048017,"03W",7.3863,"NHDV2_vaa",4.2672,"NWIS field measurements"
"nwis_02336340","nwis_02336340",2047893,2047893,"03W",59.9652,"NHDV2_vaa",6.91896,"NWIS field measurements"
"nwis_02336360","nwis_02336360",2047911,2047911,"03W",72.5931,"NHDV2_vaa",11.2776,"NWIS field measurements"
"nwis_02336410","nwis_02336410",2047963,2047963,"03W",97.2531,"NHDV2_vaa",7.1628,"NWIS field measurements"
"nwis_02336526","nwis_02336526",3285608,3285608,"03W",40.7646,"NHDV2_vaa",6.90372,"NWIS field measurements"
"nwis_02336728","nwis_02336728",3285770,3285770,"03W",90.4554,"NHDV2_vaa",9.7536,"NWIS field measurements"
"nwis_02337170","nwis_02337170",3286494,3286494,"03W",5322.4803,"NHDV2_vaa",72.2376,"NWIS field measurements"
"nwis_023432415","nwis_023432415",2306737,2306737,"03W",19331.0316,"NHDV2_vaa",121.0056,"NWIS field measurements"
"nwis_02344630","nwis_02344630",6415508,6415508,"03W",190.4679,"NHDV2_vaa",7.9248,"NWIS field measurements"
"nwis_02397530","nwis_02397530",15823427,15823427,"03W",11303.4474,"NHDV2_vaa",96.1644,"NWIS field measurements"
"nwis_02492620","nwis_02492620",15714387,15714387,"08",18604.8495,"NHDV2_vaa",58.0644,"NWIS field measurements"
"nwis_03007800","nwis_03007800",8972788,8972788,"05",653.7933,"NHDV2_vaa",33.2232,"NWIS field measurements"
"nwis_03025500","nwis_03025500",10222194,10222194,"05",15446.619,"NHDV2_vaa",174.6504,"NWIS field measurements"
"nwis_03027500","nwis_03027500",6874115,6874115,"05",187.9479,"NHDV2_vaa",27.95016,"NWIS field measurements"
"nwis_03034000","nwis_03034000",4741709,4741709,"05",409.9527,"NHDV2_vaa",30.14472,"NWIS field measurements"
"nwis_03036000","nwis_03036000",166808422,166808422,"05",892.6308,"NHDV2_vaa",46.0248,"NWIS field measurements"
"nwis_03058000","nwis_03058000",3717136,3717136,"05",262.2699,"NHDV2_vaa",27.1272,"NWIS field measurements"
"nwis_03061000","nwis_03061000",3715602,3715602,"05",1961.4141,"NHDV2_vaa",41.148,"NWIS field measurements"
"nwis_03067510","nwis_03067510",3777215,3777215,"05",159.7824,"NHDV2_vaa",26.8224,"NWIS field measurements"
"nwis_03072655","nwis_03072655",3788105,3788105,"05",11549.5992,"NHDV2_vaa",178.6128,"NWIS field measurements"
"nwis_03073000","nwis_03073000",3789647,3789647,"05",467.694,"NHDV2_vaa",22.92096,"NWIS field measurements"
"nwis_03075070","nwis_03075070",3785895,3785895,"05",13832.3448,"NHDV2_vaa",234.0864,"NWIS field measurements"
"nwis_03081000","nwis_03081000",3809023,3809023,"05",2661.6204,"NHDV2_vaa",88.392,"NWIS field measurements"
"nwis_03083500","nwis_03083500",3806147,3806147,"05",4434.8382,"NHDV2_vaa",115.5192,"NWIS field measurements"
"nwis_03098600","nwis_03098600",13153643,13153643,"05",2533.0041,"NHDV2_vaa",39.0144,"NWIS field measurements"
"nwis_03105500","nwis_03105500",19464300,19464300,"05",5807.0709,"NHDV2_vaa",79.5528,"NWIS field measurements"
"nwis_03106000","nwis_03106000",10926401,10926401,"05",922.4334,"NHDV2_vaa",40.5384,"NWIS field measurements"
"nwis_03121850","nwis_03121850",19389922,19389922,"05",36.1134,"NHDV2_vaa",6.00456,"NWIS field measurements"
"nwis_03183500","nwis_03183500",12107522,12107522,"05",3297.8241,"NHDV2_vaa",99.3648,"NWIS field measurements"
"nwis_03219500","nwis_03219500",5215353,5215353,"05",1467.972,"NHDV2_vaa",37.6428,"NWIS field measurements"
"nwis_03228300","nwis_03228300",5213097,5213097,"05",262.1826,"NHDV2_vaa",14.0208,"NWIS field measurements"
"nwis_03255349","nwis_03255349",3404925,3404925,"05",144.7713,"NHDV2_vaa",12.4968,"NWIS field measurements"
"nwis_03259757","nwis_03259757",3405231,3405231,"05",21.0168,"NHDV2_vaa",4.7244,"NWIS field measurements"
"nwis_03259813","nwis_03259813",3405231,3405231,"05",21.0168,"NHDV2_vaa",3.6576,"NWIS field measurements"
"nwis_03289200","nwis_03289200",1825492,1825492,"05",95.3703,"NHDV2_vaa",13.04544,"NWIS field measurements"
"nwis_03292470","nwis_03292470",10163598,10163598,"05",186.6744,"NHDV2_vaa",19.812,"NWIS field measurements"
"nwis_03292474","nwis_03292474",10163710,10163710,"05",29.5047,"NHDV2_vaa",5.7912,"NWIS field measurements"
"nwis_03292475","nwis_03292475",10163710,10163710,"05",29.5047,"NHDV2_vaa",10.0584,"NWIS field measurements"
"nwis_03292480","nwis_03292480",10163686,10163686,"05",17.0424,"NHDV2_vaa",5.66928,"NWIS field measurements"
"nwis_03293000","nwis_03293000",10163884,10163884,"05",66.2274,"NHDV2_vaa",10.668,"NWIS field measurements"
"nwis_03293500","nwis_03293500",10163884,10163884,"05",66.2274,"NHDV2_vaa",7.43712,"NWIS field measurements"
"nwis_03293530","nwis_03293530",10163728,10163728,"05",18.9333,"NHDV2_vaa",5.1816,"NWIS field measurements"
"nwis_03294570","nwis_03294570",10163798,10163798,"05",42.0444,"NHDV2_vaa",7.13232,"NWIS field measurements"
"nwis_03297900","nwis_03297900",10263816,10263816,"05",207.4167,"NHDV2_vaa",18.9738,"NWIS field measurements"
"nwis_03298000","nwis_03298000",10264510,10264510,"05",361.08,"NHDV2_vaa",17.9832,"NWIS field measurements"
"nwis_03298135","nwis_03298135",10264014,10264014,"05",30.0168,"NHDV2_vaa",8.8392,"NWIS field measurements"
"nwis_03298150","nwis_03298150",10264014,10264014,"05",30.0168,"NHDV2_vaa",10.668,"NWIS field measurements"
"nwis_03298200","nwis_03298200",10264174,10264164,"05",544.9005,"NHDV2_vaa",16.9164,"NWIS field measurements"
"nwis_03298250","nwis_03298250",10264224,10264224,"05",35.2125,"NHDV2_vaa",9.03732,"NWIS field measurements"
"nwis_03298300","nwis_03298300",10264216,10264216,"05",21.7242,"NHDV2_vaa",8.6868,"NWIS field measurements"
"nwis_03301900","nwis_03301900",10264004,10264004,"05",9.1566,"NHDV2_vaa",4.572,"NWIS field measurements"
"nwis_03301940","nwis_03301940",10264038,10264038,"05",29.6721,"NHDV2_vaa",5.60832,"NWIS field measurements"
"nwis_03302000","nwis_03302000",10264532,10264532,"05",166.9086,"NHDV2_vaa",13.04544,"NWIS field measurements"
"nwis_03302030","nwis_03302030",10264270,10264270,"05",216.2763,"NHDV2_vaa",11.2014,"NWIS field measurements"
"nwis_03302050","nwis_03302050",10264274,10264274,"05",12.7719,"NHDV2_vaa",3.81,"NWIS field measurements"
"nwis_03321500","nwis_03321500",11619101,11619101,"05",22657.4379,"NHDV2_vaa",139.5984,"NWIS field measurements"
"nwis_03339000","nwis_03339000",10080962,10080962,"05",3340.3536,"NHDV2_vaa",49.8348,"NWIS field measurements"
"nwis_03346500","nwis_03346500",10339414,10339414,"05",6083.8605,"NHDV2_vaa",48.6156,"NWIS field measurements"
"nwis_03353200","nwis_03353200",18476775,18476775,"05",284.1741,"NHDV2_vaa",19.5072,"NWIS field measurements"
"nwis_03353420","nwis_03353420",18476787,18476787,"05",21.1194,"NHDV2_vaa",4.4958,"NWIS field measurements"
"nwis_03374100","nwis_03374100",18471310,18471310,"05",29069.028,"NHDV2_vaa",133.9596,"NWIS field measurements"
"nwis_03408500","nwis_03408500",12154450,12154450,"05",998.1612,"NHDV2_vaa",28.0416,"NWIS field measurements"
"nwis_03409500","nwis_03409500",12154278,12154278,"05",706.6737,"NHDV2_vaa",30.9372,"NWIS field measurements"
"nwis_03430200","nwis_03430200",18401497,18401497,"05",2364.606,"NHDV2_vaa",42.672,"NWIS field measurements"
"nwis_03460795","nwis_03460795",22151067,22151067,"06",1392.1812,"NHDV2_vaa",39.0144,"NWIS field measurements"
"nwis_03512000","nwis_03512000",19730510,19730510,"06",476.5311,"NHDV2_vaa",40.8432,"NWIS field measurements"
"nwis_03538830","nwis_03538830",19710659,19710659,"06",237.4146,"NHDV2_vaa",25.4508,"NWIS field measurements"
"nwis_03539600","nwis_03539600",19711775,19711775,"06",362.6964,"NHDV2_vaa",26.8224,"NWIS field measurements"
"nwis_03539778","nwis_03539778",19710283,19710283,"06",443.9484,"NHDV2_vaa",9.9822,"NWIS field measurements"
"nwis_03597860","nwis_03597860",19533702,19533702,"06",1108.5246,"NHDV2_vaa",16.6116,"NWIS field measurements"
"nwis_04024000","nwis_04024000",1777616,1777616,"04",8893.246,"NHDV2_vaa",127.1016,"NWIS field measurements"
"nwis_04027000","nwis_04027000",1815879,1815879,"04",1549.225,"NHDV2_vaa",41.4528,"NWIS field measurements"
"nwis_04040000","nwis_04040000",11947215,11947215,"04",3471.178,"NHDV2_vaa",27.1272,"NWIS field measurements"
"nwis_04059500","nwis_04059500",6860182,6860182,"04",1166.35,"NHDV2_vaa",28.3464,"NWIS field measurements"
"nwis_04067500","nwis_04067500",6848607,6848607,"04",10148.337,"NHDV2_vaa",117.0432,"NWIS field measurements"
"nwis_04085108","nwis_04085108",12005979,12005979,"04",129.127,"NHDV2_vaa",4.99872,"NWIS field measurements"
"nwis_040851385","nwis_040851385",12005077,12005077,"04",16642.654,"NHDV2_vaa",168.402,"NWIS field measurements"
"nwis_04087050","nwis_04087050",12163800,12163800,"04",21.282,"NHDV2_vaa",3.85572,"NWIS field measurements"
"nwis_04087119","nwis_04087119",12163888,12163888,"04",27.741,"NHDV2_vaa",5.05968,"NWIS field measurements"
"nwis_040871488","nwis_040871488",12164306,12164306,"04",29.642,"NHDV2_vaa",1.6764,"NWIS field measurements"
"nwis_04095090","nwis_04095090",3398496,3398496,"04",858.024,"NHDV2_vaa",32.9184,"NWIS field measurements"
"nwis_04101500","nwis_04101500",12264996,12264996,"04",9654.552,"NHDV2_vaa",76.5048,"NWIS field measurements"
"nwis_04108660","nwis_04108660",3468457,3468457,"04",5120.26,"NHDV2_vaa",63.0936,"NWIS field measurements"
"nwis_04119400","nwis_04119400",9005833,9005833,"04",13730.119,"NHDV2_vaa",156.972,"NWIS field measurements"
"nwis_04121944","nwis_04121944",12134418,12134418,"04",965.547,"NHDV2_vaa",25.6032,"NWIS field measurements"
"nwis_04121970","nwis_04121970",12134842,12134842,"04",6072.844,"NHDV2_vaa",56.388,"NWIS field measurements"
"nwis_04124000","nwis_04124000",12121104,12121104,"04",2242.152,"NHDV2_vaa",37.7952,"NWIS field measurements"
"nwis_04124200","nwis_04124200",12120568,12120568,"04",2544.909,"NHDV2_vaa",39.1668,"NWIS field measurements"
"nwis_04125460","nwis_04125460",12120754,12120754,"04",652.379,"NHDV2_vaa",17.9832,"NWIS field measurements"
"nwis_04125550","nwis_04125550",12121294,12121294,"04",3576.696,"NHDV2_vaa",71.3232,"NWIS field measurements"
"nwis_04136000","nwis_04136000",12952772,12952772,"04",2789.401,"NHDV2_vaa",27.85872,"NWIS field measurements"
"nwis_04136500","nwis_04136500",12952798,12952798,"04",3331.047,"NHDV2_vaa",35.052,"NWIS field measurements"
"nwis_04136900","nwis_04136900",12951528,12951528,"04",3724.935,"NHDV2_vaa",40.5384,"NWIS field measurements"
"nwis_04137005","nwis_04137005",12951570,12951570,"04",3949.732,"NHDV2_vaa",43.2816,"NWIS field measurements"
"nwis_04137500","nwis_04137500",12954040,12954040,"04",4323.812,"NHDV2_vaa",52.578,"NWIS field measurements"
"nwis_04142000","nwis_04142000",12944890,12944890,"04",854.099,"NHDV2_vaa",21.1836,"NWIS field measurements"
"nwis_041482663","nwis_041482663",13019635,13019635,"04",44.678,"NHDV2_vaa",5.7912,"NWIS field measurements"
"nwis_04157005","nwis_04157005",13204437,13204437,"04",15612.57,"NHDV2_vaa",144.4752,"NWIS field measurements"
"nwis_04165500","nwis_04165500",13183066,13183066,"04",1939.963,"NHDV2_vaa",38.862,"NWIS field measurements"
"nwis_04166500","nwis_04166500",10850144,10850144,"04",478.753,"NHDV2_vaa",12.71016,"NWIS field measurements"
"nwis_04167150","nwis_04167150",10850156,10850156,"04",283.033,"NHDV2_vaa",11.5824,"NWIS field measurements"
"nwis_04168400","nwis_04168400",10850162,10850162,"04",234.546,"NHDV2_vaa",13.1064,"NWIS field measurements"
"nwis_04174500","nwis_04174500",13176035,13176035,"04",1930.896,"NHDV2_vaa",36.576,"NWIS field measurements"
"nwis_04176500","nwis_04176500",13229606,13229606,"04",2679.973,"NHDV2_vaa",51.054,"NWIS field measurements"
"nwis_04188496","nwis_04188496",15647198,15647198,"04",130.284,"NHDV2_vaa",8.9916,"NWIS field measurements"
"nwis_04195500","nwis_04195500",15626425,15626425,"04",1101.767,"NHDV2_vaa",34.4424,"NWIS field measurements"
"nwis_04199500","nwis_04199500",15605376,15605376,"04",679.45,"NHDV2_vaa",27.432,"NWIS field measurements"
"nwis_04200500","nwis_04200500",15597503,15597503,"04",1039.275,"NHDV2_vaa",31.0896,"NWIS field measurements"
"nwis_04208000","nwis_04208000",15587072,15587072,"04",1829.21,"NHDV2_vaa",56.8452,"NWIS field measurements"
"nwis_04213152","nwis_04213152",9840538,9840538,"04",97.033,"NHDV2_vaa",11.61288,"NWIS field measurements"
"nwis_04213500","nwis_04213500",15582369,15582369,"04",1129.273,"NHDV2_vaa",37.0332,"NWIS field measurements"
"nwis_04231600","nwis_04231600",15537883,15537883,"04",7423.696,"NHDV2_vaa",114.9096,"NWIS field measurements"
"nwis_04249000","nwis_04249000",21972746,21972746,"04",20699.062,"NHDV2_vaa",73.914,"NWIS field measurements"
"nwis_05054000","nwis_05054000",6667867,6667867,"09",28398.2868,"NHDV2_vaa",47.244,"NWIS field measurements"
"nwis_05057000","nwis_05057000",14269180,14269180,"09",6170.085,"NHDV2_vaa",23.53056,"NWIS field measurements"
"nwis_05057200","nwis_05057200",14269214,14269214,"09",1731.0843,"NHDV2_vaa",7.62,"NWIS field measurements"
"nwis_05082500","nwis_05082500",9398232,9398232,"09",64103.1795,"NHDV2_vaa",76.8096,"NWIS field measurements"
"nwis_05406457","nwis_05406457",13633173,13633173,"07",1.1952,"NHDV2_vaa",5.1816,"NWIS field measurements"
"nwis_05406469","nwis_05406469",13633137,13633137,"07",28.8342,"NHDV2_vaa",4.1148,"NWIS field measurements"
"nwis_05406479","nwis_05406479",13633821,13633821,"07",66.1284,"NHDV2_vaa",7.83336,"NWIS field measurements"
"nwis_05406500","nwis_05406500",13633025,13633025,"07",114.3378,"NHDV2_vaa",10.14984,"NWIS field measurements"
"nwis_05418400","nwis_05418400",13374239,13374239,"07",1302.912,"NHDV2_vaa",33.6804,"NWIS field measurements"
"nwis_05420500","nwis_05420500",14809371,14809371,"07",220066.1037,"NHDV2_vaa",487.68,"NWIS field measurements"
"nwis_05435943","nwis_05435943",13425023,13425023,"07",55.4994,"NHDV2_vaa",5.97408,"NWIS field measurements"
"nwis_05435950","nwis_05435950",13425065,13425065,"07",217.1115,"NHDV2_vaa",11.90244,"NWIS field measurements"
"nwis_05446500","nwis_05446500",10608846,10608846,"07",24761.1447,"NHDV2_vaa",133.5024,"NWIS field measurements"
"nwis_05447500","nwis_05447500",10969489,10969489,"07",2710.7838,"NHDV2_vaa",38.2524,"NWIS field measurements"
"nwis_05451080","nwis_05451080",6570914,6570914,"07",32.121,"NHDV2_vaa",2.5908,"NWIS field measurements"
